" is out of stock!"," не е налично!"
"404 Page Not Found","404 Страницата не е намерена"
"Account data has successfully been updated","Данните на профила бяха обновени успешно"
"Add review","Добавете отзив"
"Adding a review ...","Добавяне на отзив ..."
"The address provided in checkout contains invalid data. Please check if all required fields are filled in and also contact us on {email} to resolve this issue for future. Your order has been canceled.","Адресът, предоставен при плащане, съдържа невалидни данни. Моля, проверете дали всички задължителни полета са попълнени и също така се свържете с нас на {имейл}, за да разрешите този проблем за вбъдеще. Поръчката ви е анулирана."
"Enable order notification","Активиране на известия за поръчката"
"Are you sure you would like to remove this item from the shopping cart?","Сигурни ли сте, че искате да премахнете този продукт от количката?"
"Checkout","Плащане"
"Columns","Колони"
"Language","Език"
"Compare Products","Сравнете продукти"
"Compare products","Сравнете продукти"
"Confirm your order","Потвърдете поръчката си"
"Error refreshing user token. User is not authorized to access the resource","Грешка при обновяване на потребителския токен. Потребителят няма право на достъп до ресурса"
"Error with response - bad content-type!","Грешка с отговор - лош тип съдържание!"
"Error: Error while adding products","Грешка: Грешка при добавяне на продукти"
"Field is required","Задължително поле"
"Field is required.","Задължително поле."
"Grand total","Общо"
"Home Page","Начална страница"
"In stock!","В наличност!"
"Internal Application error while refreshing the tokens. Please clear the storage and refresh page.","Вътрешна грешка в приложението при обновяване на токените. Моля, изчистете хранилището и презаредете страницата."
"Internal validation error. Please check if all required fields are filled in. Please contact us on {email}","Вътрешна грешка при валидиране. Моля, проверете дали всички задължителни полета са попълнени. Моля, свържете се с нас на {email}"
"Must be greater than 0","Трябва да е по-голямо от 0"
"My Account","Моят профил"
"Newsletter preferences have successfully been updated","Предпочитанията за бюлетин бяха обновени успешно"
"No available product variants","Няма налични варианти на продукта"
"No products synced for this category. Please come back while online!","В тази категория не сe синхронизираха продукти. Моля, върнете се когато сте онлайн!"
"No such configuration for the product. Please do choose another combination of attributes.","Няма такава конфигурация за продукта. Моля, изберете друга комбинация от атрибути."
"OK","Добре"
"Only {maxQuantity} products of this type are available!","Предлагат се само {maxQuantity} продукти от този тип!"
"Or if you will stay on the "Order Confirmation" page, the order will be placed automatically, once the internet connection is back.","Или ако останете на страницата „Потвърждение на поръчката“, поръчката ще бъде направена автоматично без потвърждение, след като връзката с интернет се върне."
"Out of stock!","Не е налично!"
"Out of the stock!","Не е налично!"
"Payment Information","Информация за плащане"
"Please configure product bundle options and fix the validation errors","Моля, конфигурирайте опциите за пакет продукти и поправете грешките при валидиране"
"Please configure custom product options and fix the validation errors","Моля, конфигурирайте персонализираните опции на продукта и коригирайте грешките при валидиране"
"Please confirm the order you placed when you were offline","Моля, потвърдете поръчката, която сте направили, когато сте били офлайн"
"Please fix the validation errors","Моля, поправете грешките при валидиране"
"Please select the field which You like to sort by","Моля, изберете полето, по което искате да сортирате"
"Please wait ...","Моля, Изчакайте ..."
"Proceed to checkout","Продължете към плащане"
"Processing order...","Поръчката се обработва ..."
"The product has been added to Cart!","Продуктът е добавен в кошницата!"
"The product price is unknown and cannot be added to Cart!","Цената на продукта е неизвестна и той не може бъде добавен в кошницата!"
"The product quantity has been updated!","Количеството на продукта е обновено!"
"Product {productName} has been added to Compare!","Продуктът {productName} е добавен за сравнение!"
"Product {productName} has been added to Wishlist!","Продуктът {productName} е добавен към списъка с желания!"
"Product {productName} has been removed from Compare!","Продуктът {productName} е премахнат от сравнението!"
"Product {productName} has been removed from Wishlist!","Продуктът {productName} е премахнат от списъка с желания!"
"Quantity (offline mode)","Количество (офлайн режим)"
"Quantity ({qty} available)","Количество ({qty} налични)"
"Quantity must be above 0","Количеството трябва да е над 0"
"Quantity must be below {quantity}","Количеството трябва да бъде под {количество}"
"Quantity must be positive integer","Количеството трябва да е положително цяло число"
"Registering the account ...","Регистриране на акаунта ..."
"The reset password feature does not work while offline!","Функцията за нулиране на паролата не работи, докато сте офлайн!"
"Review","Отзив"
"Reviews","Отзиви"
"Select 0","Изберете 0"
"Select 1","Изберете 1"
"Shopping cart is empty. Please add some products before entering Checkout","Количката е празна. Моля, добавете продукти, преди да влезете в Плащане"
"Some of the ordered products are not available!","Някои от поръчаните продукти не са налични!"
"Please wait while we check for available stock quantities","Моля, изчакайте, докато проверим наличните количества"
"Subtotal incl. tax","Междинна сума вкл. данък"
"Summary","Обобщение"
"The product is out of stock and cannot be added to Cart!","Продуктът е изчерпан и не може да бъде добавен в кошницата!"
"The product, category, or CMS page is not available in Offline mode. Redirecting to Home.","Продуктът, категорията или CMS страницата не са достъпни в офлайн режим. Пренасочване към Начало."
"The system is not sure about the stock quantity (volatile). Product has been added to Cart for pre-reservation.","Системата не е сигурна за наличното количество (променливо). Продуктът е добавен в кошницата за предварителна резервация."
"We are sorry, there is no Internet connection. You can still place your order. We will notify you when we are back online if any of the ordered products are out of stock.","Съжаляваме, нямаме връзка с интернет. Все още можете да направите поръчката си. В момента не можем да проверим дали някой от поръчаните продукти е изчерпан. Ще ви уведомим при първа възможност!"
"This feature is not implemented yet!","Тази функция все още не е активна!"
"Thumbnail","Умалено изображение"
"Type what you are looking for...","Въведете това, което търсите ..."
"Unexpected authorization error. Check your Network conection.","Неочаквана грешка в авторизацията. Проверете мрежовото си свързване."
"Unhandled error, wrong response format!","Неоправена грешка, грешен формат на отговора!"
"Vue Storefront"," Mагазин"
"You are going to pay for this order upon delivery.","Ще платите за тази поръчка при доставка."
"You are logged in!","Влезли сте!"
"You are to pay for this order upon delivery.","Вие трябва да платите за тази поръчка при доставка."
"You need to be logged in to see this page","За да видите тази страница, трябва да сте влезли в профила си."
"You submitted your review for moderation.","Изпратихте отзива си за модериране."
"You're logged out","Излезли сте"
"email","електронна поща"
"login","Влизане"
"not authorized","неоторизиран"
"password","парола"
"to account","към профила"
"An account for {email} already exists.","Профилът за {email} вече съществува."
"Store","Магазин"
"Warranty","Гаранция"
"Policy","Политика"
"Privacy","Поверителност"
"Store","Магазин"
"ProCC Store","ProCC Магазин"
"bust","бюст"
"waist","талия"
"hip","ханш"
"length","дължина"
"New Product Arrivals","Нови продукти"
"Available soon","Очаква се скоро"
"Login / Registration","Вход/Регистрация"
"Shipping Total Cost","Доставка Обща стойност"
"EKONT","Еконт"
"Rapido","Рапидо"
"Limited quantity available","Ограничено налично количество"
"Address","Адрес"
"Billing Address","Адрес за фактуриране"
"Shipping Methods","Методи за доставка"
"Carrier","Куриер"
"Estimated Delivery Time","Очаквано време за доставка"
"Cost","Цена"
"Tracking","Проследяване"
"Days","Дни"
"Estimated Delivery","Очаквана доставка"
"Calculated","Изчислено"
"Apply","Приложи"
"Ok","Добре"
"invalidCredentials","невалидни идентификационни данни"
"Homepage","начална страница"
"Order Feedback","Обратна връзка за поръчка"
"Download Invoice","Изтегляне на фактура"
"Retry Payment","Повторен опит за плащане"
"Image","Изображение"
"Online Payment","Онлайн разплащане"
"Order Cancellation","Анулиране на поръчка"
"All Stores","Всички магазини"
"List of the available ProCC Store Brands","Списък на наличните брандове в ProCC"
"noImage","Няма Изображение"
"Shipping & Handling","Доставка & Обработка"
"Bulgaria","България"
"Configure","Конфигуриране"
"Contacts","Контакти"
"8-10","8-10"
"Bulgaria, Varna","България, Варна"
"French","Френски"
"Spanish","Испански"
"Dutch","Холандски"
"Japanese","Японски"
"Russian","Руски"
"Portuguese","Португалски"
"Polish","Полски"
"Czech","Чешки"
"Deutsch","Немски"
"Български","Български"
"Français","Français"
"Español","Español"
"Nederlandse","Nederlandse"
"日本語","日本語"
"Русский","Русский"
"Italiano","Italiano"
"Português","Português"
"Polski","Polski"
"Český","Český"
"Greece","Гърция"
"Austria","Австрия"
"Slovenia","Словения"
"Croatia","Хърватия"
"Hungary","Унгария"
"Poland","Полша"
"Slovakia","Словакия"
"Czechia","Czechia"
"Romania","Румъния"
"Code must have at least 3 letters.","Кодът трябва да има поне 3 букви"
"No Options","Няма опции"
"Loading...","Зареждане..."
"Please provide a valid city name","Моля, посочете валидно име на град"
"DPD Austria","DPD Австрия"
"Place Order","Направи поръчка"
"Something went wrong :( the payment failed, please retry","Нещо се обърка :( плащането не бе успешно, моля, опитайте отново"
"We will send you the invoice to","Ще Ви изпратим фактурата до"
"Invoice to","Фактура до"
"Pay Online","Платете онлайн"
"This is not a valid EU VAT Number","Това не е валиден Булстат"
"as soon as you receive the products and submit a review","веднага щом получите продуктите и изпратите рецензия"
"Failed to verify your EU VAT Number",Неспешна потвърждаването на вашия Булстат номер "
"Account for VAT according to your local law","Отчетете ДДС съгласно местното си законодателство"
"Placing the order failed, please contact support!","Подаването на поръчката не бе успешно, моля, свържете се с поддръжката!"
"Afghanistan","Афганистан"
"Albania","Албания"
"Algeria","Алжирия"
"American Samoa","Американска Самоа"
"Andorra","Андора"
"Angola","Ангола"
"Anguilla","Ангила"
"Antarctica","Антарктида"
"Antigua and Barbuda","Антигуа и Барбуда"
"Argentina","Аржентина"
"Armenia","Армения"
"Aruba","Аруба"
"Azerbaijan","Азербайджан"
"Australia","Австралия"
"Bahamas","Бахамски острови"
"Bahrain","Бахрейн"
"Bangladesh","Бангладеш"
"Barbados","Барбадос"
"Belarus","Беларус"
"Belgium","Белгия"
"Belize","Белиз"
"Benin","Бенин"
"Bermuda","Бермуди"
"Bhutan","Бутан"
"Bosnia and Herzegovina","Босна и Херцеговина"
"Bolivia","Боливия"
"Botswana","Ботсвана"
"Bouvet Island","Остров Буве"
"Brazil","Бразилия"
"British Indian Ocean Territory","Британска територия в Индийския океан"
"The British Virgin Islands","Британските Вирджински острови"
"Brunei","Бруней"
"Burkina Faso","Буркина Фасо"
"Burundi","Бурунди"
"Cambodia","Камбоджа"
"Cameroon","Камерун"
"Canada","Канада"
"Cape Verde","Кабо Верде"
"Cayman Islands","Кайманови острови"
"Central African Republic","Централноафриканската република"
"Chad","Чад"
"China","Китай"
"Chile","Чили"
"Christmas Island","Коледен остров"
"Cocos [Keeling] Islands","Кокосови острови"
"Comoros","Коморски острови"
"Congo","Конго"
"Colombia","Колумбия"
"Cook Islands","Острови Кук"
"Costa Rica","Коста Рика"
"Cuba","Куба"
"Cyprus","Кипър"
"Czech Republic","Чехия"
"Côte d’Ivoire","Кот д'Ивоар"
"Djibouti","Джибути"
"Denmark","Дания"
"Dominica","Доминика"
"Dominican Republic","Доминиканска република"
"Ecuador","Еквадор"
"Egypt","Египет"
"El Salvador","Ел Салвадор"
"Equatorial Guinea","Екваториална Гвинея"
"Eritrea","Еритрея"
"Estonia","Естония"
"Ethiopia","Етиопия"
"Falkland Islands","Фолкландски острови"
"Faroe Islands","Фарьорските острови"
"Fiji","Фиджи"
"Finland","Финландия"
"France","Франция"
"French Guiana","Френска Гвиана"
"French Polynesia","Френска полинезия"
"Gabon","Габон"
"French Southern Territories","Френски южни територии"
"Gambia","Гамбия"
"Georgia","Грузия"
"Gibraltar","Гибралтар"
"Ghana","Гана"
"Greenland","Гренландия"
"Guadeloupe","Гваделупа"
"Guatemala","Гватемала"
"Grenada","Гренада"
"Guam","Гуам"
"Guernsey","Гернси"
"Guinea","Гвинея"
"Guyana","Гвиана"
"Haiti","Хаити"
"Heard Island and McDonald Islands","Остров Хърд и о-вите Макдоналд"
"Honduras","Хондурас"
"Hong Kong SAR China","Хонконг, Китай"
"Iceland","Исландия"
"India","Индия"
"Indonesia","Индонезия"
"Iran","Iran"
"Iraq","Iraq"
"Ireland","Ireland"
"Isle of Man","Isle of Man"
"Israel","Israel"
"Jamaica","Jamaica"
"Jersey","Jersey"
"Japan","Japan"
"Jordan","Jordan"
"Kazakhstan","Kazakhstan"
"Kenya","Kenya"
"Kuwait","Kuwait"
"Kiribati","Kiribati"
"Kyrgyzstan","Kyrgyzstan"
"Laos","Laos"
"Latvia","Latvia"
"Lebanon","Lebanon"
"Lesotho","Lesotho"
"Liberia","Liberia"
"Libya","Libya"
"Liechtenstein","Liechtenstein"
"Lithuania","Lithuania"
"Luxembourg","Luxembourg"
"Macau SAR China","Macau SAR China"
"Macedonia","Macedonia"
"Madagascar","Madagascar"
"Malaysia","Malaysia"
"Malawi","Malawi"
"Maldives","Maldives"
"Mali","Mali"
"Malta","Malta"
"Marshall Islands","Marshall Islands"
"Martinique","Martinique"
"Mauritania","Mauritania"
"Mauritius","Mauritius"
"Mayotte","Mayotte"
"Micronesia","Micronesia"
"Mexico","Mexico"
"Mongolia","Mongolia"
"Moldova","Moldova"
"Monaco","Monaco"
"Montenegro","Montenegro"
"Montserrat","Montserrat"
"Morocco","Morocco"
"Mozambique","Mozambique"
"Myanmar [Burma]","Myanmar [Burma]"
"Namibia","Namibia"
"Nauru","Nauru"
"Nepal","Nepal"
"Netherlands Antilles","Netherlands Antilles"
"Netherlands","Netherlands"
"New Caledonia","New Caledonia"
"New Zealand","New Zealand"
"Nicaragua","Nicaragua"
"Niger","Niger"
"Nigeria","Nigeria"
"Niue","Niue"
"Norfolk Island","Norfolk Island"
"North Korea","North Korea"
"Northern Mariana Islands","Northern Mariana Islands"
"Norway","Norway"
"Oman","Oman"
"Pakistan","Pakistan"
"Palau","Palau"
"Palestinian Territories","Palestinian Territories"
"Panama","Panama"
"Papua New Guinea","Papua New Guinea"
"Paraguay","Paraguay"
"Peru","Peru"
"Philippines","Philippines"
"Pitcairn Islands","Pitcairn Islands"
"Portugal","Portugal"
"Puerto Rico","Puerto Rico"
"Qatar","Qatar"
"Russia","Russia"
"Rwanda","Rwanda"
"Réunion","Réunion"
"Saint Barthélemy","Saint Barthélemy"
"Saint Helena","Saint Helena"
"Saint Kitts and Nevis","Saint Kitts and Nevis"
"Saint Lucia","Saint Lucia"
"Saint Martin","Saint Martin"
"Saint Pierre and Miquelon","Saint Pierre and Miquelon"
"Saint Vincent and the Grenadines","Saint Vincent and the Grenadines"
"Samoa","Samoa"
"San Marino","San Marino"
"Saudi Arabia","Saudi Arabia"
"Senegal","Senegal"
"Serbia","Serbia"
"Seychelles","Seychelles"
"Sierra Leone","Sierra Leone"
"Singapore","Singapore"
"Solomon Islands","Solomon Islands"
"Somalia","Somalia"
"South Africa","South Africa"
"South Georgia and the South Sandwich Islands","South Georgia and the South Sandwich Islands"
"South Korea","South Korea"
"Spain","Spain"
"Sri Lanka","Sri Lanka"
"Sudan","Sudan"
"Suriname","Suriname"
"Svalbard and Jan Mayen","Svalbard and Jan Mayen"
"Swaziland","Swaziland"
"Sweden","Sweden"
"Switzerland","Switzerland"
"Syria","Syria"
"São Tomé and Príncipe","São Tomé and Príncipe"
"Taiwan","Taiwan"
"Tajikistan","Tajikistan"
"Tanzania","Tanzania"
"Thailand","Thailand"
"Timor","Timor"
"Togo","Togo"
"Tokelau","Tokelau"
"Tonga","Tonga"
"Trinidad and Tobago","Trinidad and Tobago"
"Tunisia","Tunisia"
"Turkey","Turkey"
"Turkmenistan","Turkmenistan"
"Turks and Caicos Islands","Turks and Caicos Islands"
"U.S. Minor Outlying Islands","U.S. Minor Outlying Islands"
"Tuvalu","Tuvalu"
"U.S. Virgin Islands","U.S. Virgin Islands"
"Uganda","Uganda"
"Ukraine","Ukraine"
"United Arab Emirates","United Arab Emirates"
"United Kingdom","United Kingdom"
"Uruguay","Uruguay"
"Uzbekistan","Uzbekistan"
"Vanuatu","Vanuatu"
"Vatican City","Vatican City"
"Venezuela","Venezuela"
"Vietnam","Vietnam"
"Wallis and Futuna","Wallis and Futuna"
"Western Sahara","Western Sahara"
"Yemen","Yemen"
"Zambia","Zambia"
"Zimbabwe","Zimbabwe"
"Åland Islands","Åland Islands"
"Transaction is being processed","Transaction is being processed"
"Please Wait...","Please Wait..."
"What are the next steps?","What are the next steps?"
"Shipping Address","Shipping Address"
"FAQ","FAQ"
"Suggested Products","Suggested Products"
"Shipping Fee","Shipping Fee"
"VAT (Included)","VAT (Included)"
